song,artist,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,popularity,genre
Gatman (feat. A.T.T),7j2music,0.0423,0.8690000000000001,393980,0.6559999999999999,0.0,4,0.231,-6.473,0,0.335,72.505,4,0.4429999999999999,0,classical
Freaking Out,A R I Z O N A,0.121,0.6609999999999999,199635,0.684,0.00503,6,0.157,-6.611000000000001,1,0.0512,125.06,4,0.371,70,classical
Dance of the Hours,Amilcare Ponchielli,0.519,0.295,447600,0.061,0.0286,4,0.163,-24.592,1,0.0463,91.597,4,0.108,12,classical
"Concerto for Piccolo, Strings and Basso continuo in C Major, RV 443: II. Largo",Antonio Vivaldi,0.772,0.257,245320,0.181,0.105,11,0.262,-19.567,0,0.0479,79.968,4,0.1669999999999999,10,classical
"Concerto for Recorder, Strings and Basso continuo in C Minor, RV 441: III. Allegro",Antonio Vivaldi,0.8270000000000001,0.409,206533,0.211,0.0186,0,0.34,-17.119,0,0.0391,142.48,3,0.349,14,classical
"Concerto for Strings in C Minor, RV 118: III. Allegro",Antonio Vivaldi,0.784,0.522,103836,0.314,0.544,11,0.361,-18.078,0,0.031,108.482,1,0.914,14,classical
"Concerto for Strings in D Major, RV 126: I. Allegro",Antonio Vivaldi,0.825,0.6629999999999999,94977,0.271,0.975,1,0.144,-20.006,1,0.04,126.802,4,0.742,12,classical
"Concerto for Viola d'amore in D Minor, RV 394: III. Allegro",Antonio Vivaldi,0.858,0.413,295967,0.174,0.8240000000000001,1,0.208,-19.977,0,0.043,114.954,4,0.465,11,classical
"Recorder Concerto in A Minor, RV 445 (Version for Piccolo & Orchestra): III. Allegro",Antonio Vivaldi,0.867,0.62,181099,0.239,0.665,9,0.107,-18.688,0,0.072,115.452,4,0.499,11,classical
Entertainment Won't Stop Me,Baldwin Sauerwein,0.596,0.474,154253,0.7809999999999999,0.0,5,0.132,-6.912999999999999,1,0.042,185.93400000000003,4,0.7959999999999999,26,classical
The New Bitch,Baldwin Sauerwein,0.367,0.647,235468,0.494,0.000134,3,0.244,-8.574,1,0.0266,98.056,4,0.721,27,classical
Whispering Sinner,Baldwin Sauerwein,0.624,0.345,279145,0.413,1.47e-5,9,0.294,-8.718,1,0.033,172.59799999999998,3,0.551,25,classical
"Der Freischütz, J. 277: Was gleicht wohl auf Erden",Carl Maria von Weber,0.991,0.529,157573,0.402,0.00455,2,0.178,-12.172,1,0.0451,118.612,4,0.412,6,classical
