model,params,acc_mean,acc_std,f1_mean,f1_std,confusion_matrix,accuracy_vector
SVC,"Dict{Symbol, Any}(:gamma => 0.01, :kernel => ""rbf"", :C => 1)",0.5877142857142856,0.02519943130049724,0.5830819373316766,0.027288868034111805,[322.0 1.0 5.0 1.0 11.0 0.0 6.0 0.0 3.0 1.0; 3.0 273.0 24.0 3.0 2.0 8.0 2.0 0.0 28.0 7.0; 11.0 30.0 183.0 9.0 23.0 42.0 8.0 13.0 13.0 18.0; 1.0 3.0 21.0 208.0 5.0 35.0 8.0 45.0 18.0 6.0; 58.0 22.0 36.0 15.0 137.0 4.0 20.0 6.0 45.0 7.0; 0.0 11.0 45.0 19.0 4.0 152.0 7.0 17.0 22.0 73.0; 12.0 6.0 8.0 18.0 15.0 3.0 256.0 4.0 24.0 4.0; 9.0 1.0 42.0 49.0 11.0 25.0 14.0 166.0 21.0 12.0; 1.0 26.0 31.0 22.0 9.0 41.0 21.0 3.0 156.0 40.0; 0.0 11.0 14.0 6.0 4.0 54.0 11.0 3.0 43.0 204.0],"[0.5771428571428572, 0.6171428571428571, 0.5657142857142857, 0.5771428571428572, 0.6114285714285714, 0.6342857142857142, 0.5542857142857143, 0.5714285714285714, 0.5857142857142857, 0.5828571428571429]"
SVC,"Dict{Symbol, Any}(:kernel => ""linear"", :C => 0.1)",0.5894285714285714,0.01530046758730016,0.5839897117416416,0.01917846781473844,[321.0 0.0 6.0 1.0 12.0 0.0 7.0 0.0 2.0 1.0; 2.0 276.0 27.0 5.0 3.0 7.0 1.0 0.0 20.0 9.0; 10.0 29.0 198.0 8.0 20.0 35.0 7.0 15.0 13.0 15.0; 1.0 4.0 21.0 203.0 7.0 36.0 11.0 46.0 15.0 6.0; 50.0 18.0 39.0 17.0 142.0 3.0 22.0 8.0 42.0 9.0; 0.0 10.0 39.0 22.0 3.0 156.0 7.0 18.0 21.0 74.0; 10.0 6.0 8.0 18.0 21.0 4.0 250.0 6.0 24.0 3.0; 4.0 1.0 42.0 54.0 18.0 25.0 14.0 159.0 18.0 15.0; 1.0 24.0 32.0 22.0 18.0 39.0 20.0 4.0 147.0 43.0; 0.0 12.0 13.0 9.0 3.0 54.0 12.0 3.0 33.0 211.0],"[0.5828571428571429, 0.6114285714285714, 0.5857142857142857, 0.58, 0.5971428571428572, 0.6028571428571429, 0.5685714285714286, 0.5742857142857143, 0.6114285714285714, 0.58]"
SVC,"Dict{Symbol, Any}(:kernel => ""linear"", :C => 1)",0.5962857142857143,0.015181442305531772,0.5915138684060494,0.017908661951789407,[317.0 3.0 5.0 1.0 15.0 0.0 5.0 1.0 2.0 1.0; 1.0 280.0 22.0 5.0 6.0 7.0 1.0 0.0 17.0 11.0; 13.0 27.0 195.0 9.0 20.0 35.0 7.0 16.0 13.0 15.0; 1.0 5.0 19.0 201.0 9.0 35.0 12.0 48.0 14.0 6.0; 47.0 14.0 40.0 16.0 146.0 3.0 25.0 8.0 42.0 9.0; 0.0 10.0 32.0 19.0 6.0 170.0 7.0 16.0 19.0 71.0; 8.0 5.0 7.0 17.0 23.0 5.0 258.0 5.0 21.0 1.0; 2.0 1.0 42.0 55.0 21.0 22.0 16.0 160.0 17.0 14.0; 2.0 23.0 31.0 20.0 21.0 40.0 18.0 7.0 151.0 37.0; 0.0 10.0 15.0 12.0 4.0 54.0 13.0 4.0 29.0 209.0],"[0.5828571428571429, 0.6257142857142857, 0.5857142857142857, 0.5857142857142857, 0.5914285714285714, 0.6085714285714285, 0.5914285714285714, 0.5885714285714285, 0.6171428571428571, 0.5857142857142857]"
SVC,"Dict{Symbol, Any}(:coef0 => 1, :gamma => 0.1, :degree => 2, :kernel => ""poly"", :C => 1)",0.6405714285714285,0.01691917561234474,0.6399665887923027,0.01588875307365208,[312.0 2.0 6.0 1.0 17.0 0.0 7.0 1.0 2.0 2.0; 1.0 275.0 29.0 1.0 7.0 5.0 1.0 1.0 21.0 9.0; 8.0 24.0 212.0 2.0 14.0 29.0 8.0 19.0 17.0 17.0; 0.0 2.0 19.0 237.0 5.0 31.0 7.0 30.0 17.0 2.0; 29.0 16.0 42.0 12.0 165.0 6.0 24.0 12.0 38.0 6.0; 0.0 9.0 37.0 15.0 4.0 183.0 7.0 17.0 17.0 61.0; 9.0 3.0 8.0 8.0 22.0 4.0 264.0 4.0 24.0 4.0; 3.0 1.0 36.0 44.0 13.0 22.0 16.0 183.0 21.0 11.0; 2.0 22.0 34.0 8.0 7.0 29.0 19.0 7.0 190.0 32.0; 0.0 10.0 14.0 4.0 3.0 41.0 14.0 6.0 37.0 221.0],"[0.6085714285714285, 0.6485714285714286, 0.6342857142857142, 0.6257142857142857, 0.64, 0.6714285714285714, 0.6514285714285715, 0.64, 0.6514285714285715, 0.6342857142857142]"
SVC,"Dict{Symbol, Any}(:coef0 => 1, :gamma => 0.1, :degree => 2, :kernel => ""poly"", :C => 10)",0.6202857142857143,0.018440318638080034,0.6182485223792548,0.016923115362758125,[300.0 6.0 3.0 1.0 26.0 0.0 6.0 2.0 3.0 3.0; 2.0 278.0 22.0 3.0 10.0 7.0 1.0 2.0 18.0 7.0; 7.0 28.0 197.0 7.0 21.0 29.0 4.0 20.0 23.0 14.0; 1.0 7.0 19.0 227.0 5.0 27.0 12.0 35.0 14.0 3.0; 42.0 16.0 34.0 14.0 159.0 6.0 23.0 16.0 37.0 3.0; 0.0 8.0 32.0 22.0 7.0 194.0 5.0 14.0 18.0 50.0; 15.0 4.0 10.0 6.0 27.0 6.0 257.0 6.0 17.0 2.0; 5.0 2.0 37.0 49.0 15.0 21.0 15.0 180.0 19.0 7.0; 4.0 25.0 34.0 10.0 18.0 39.0 13.0 4.0 169.0 34.0; 0.0 11.0 18.0 4.0 4.0 47.0 11.0 7.0 38.0 210.0],"[0.5971428571428572, 0.6114285714285714, 0.6457142857142857, 0.5971428571428572, 0.6257142857142857, 0.6371428571428571, 0.6114285714285714, 0.6028571428571429, 0.6371428571428571, 0.6371428571428571]"
SVC,"Dict{Symbol, Any}(:coef0 => 1, :gamma => 0.01, :degree => 3, :kernel => ""poly"", :C => 1)",0.5991428571428572,0.01956673562087306,0.5954659283258126,0.02102641666324731,[319.0 1.0 5.0 1.0 13.0 0.0 7.0 0.0 3.0 1.0; 2.0 273.0 27.0 3.0 3.0 9.0 1.0 0.0 24.0 8.0; 11.0 29.0 191.0 7.0 22.0 34.0 8.0 15.0 14.0 19.0; 1.0 1.0 20.0 219.0 7.0 34.0 9.0 38.0 15.0 6.0; 47.0 22.0 43.0 15.0 144.0 4.0 21.0 6.0 40.0 8.0; 0.0 11.0 47.0 14.0 3.0 154.0 6.0 16.0 25.0 74.0; 11.0 6.0 8.0 16.0 18.0 2.0 254.0 5.0 25.0 5.0; 6.0 1.0 43.0 47.0 13.0 22.0 15.0 169.0 23.0 11.0; 1.0 24.0 34.0 20.0 9.0 35.0 18.0 3.0 164.0 42.0; 0.0 9.0 16.0 7.0 2.0 49.0 14.0 2.0 41.0 210.0],"[0.5914285714285714, 0.6257142857142857, 0.5742857142857143, 0.5971428571428572, 0.6142857142857143, 0.6342857142857142, 0.5885714285714285, 0.58, 0.5885714285714285, 0.5971428571428572]"
SVC,"Dict{Symbol, Any}(:coef0 => 1, :gamma => 0.1, :kernel => ""sigmoid"", :C => 1)",0.36428571428571427,0.020303814862217,0.3611570744893782,0.018641341603825037,[193.0 4.0 4.0 12.0 49.0 0.0 83.0 1.0 2.0 2.0; 13.0 213.0 27.0 15.0 5.0 13.0 1.0 1.0 47.0 15.0; 43.0 20.0 135.0 52.0 10.0 41.0 2.0 21.0 13.0 13.0; 5.0 15.0 30.0 134.0 5.0 18.0 9.0 97.0 24.0 13.0; 112.0 10.0 26.0 27.0 73.0 7.0 36.0 21.0 31.0 7.0; 10.0 15.0 33.0 84.0 2.0 92.0 4.0 21.0 23.0 66.0; 65.0 11.0 11.0 51.0 17.0 5.0 161.0 6.0 16.0 7.0; 16.0 4.0 37.0 143.0 6.0 24.0 16.0 85.0 11.0 8.0; 8.0 36.0 25.0 89.0 21.0 28.0 9.0 18.0 73.0 43.0; 3.0 24.0 15.0 61.0 4.0 83.0 5.0 14.0 25.0 116.0],"[0.35714285714285715, 0.40285714285714286, 0.3314285714285714, 0.34, 0.37714285714285717, 0.36, 0.3628571428571429, 0.36, 0.38, 0.37142857142857144]"
DecisionTreeClassifier,Dict(:max_depth => 5),0.4751428571428572,0.028982753492378877,0.45858213903042844,0.03989581938896363,[262.0 4.0 2.0 3.0 44.0 0.0 29.0 0.0 2.0 4.0; 1.0 157.0 88.0 3.0 12.0 5.0 10.0 0.0 36.0 38.0; 9.0 17.0 189.0 3.0 29.0 5.0 13.0 16.0 24.0 45.0; 0.0 12.0 48.0 115.0 22.0 2.0 6.0 101.0 24.0 20.0; 36.0 13.0 43.0 6.0 164.0 1.0 33.0 7.0 33.0 14.0; 1.0 13.0 125.0 6.0 6.0 38.0 6.0 16.0 22.0 117.0; 12.0 1.0 8.0 7.0 50.0 0.0 236.0 3.0 26.0 7.0; 4.0 4.0 37.0 15.0 27.0 2.0 18.0 199.0 25.0 19.0; 3.0 30.0 59.0 7.0 32.0 4.0 30.0 3.0 103.0 79.0; 0.0 24.0 48.0 1.0 10.0 38.0 9.0 0.0 20.0 200.0],"[0.46285714285714286, 0.44571428571428573, 0.5171428571428571, 0.49142857142857144, 0.5, 0.5114285714285715, 0.4342857142857143, 0.4685714285714286, 0.44571428571428573, 0.4742857142857143]"
DecisionTreeClassifier,Dict(:max_depth => 6),0.5008571428571429,0.033129992029610957,0.49531041523140196,0.03614836665043093,[276.0 4.0 5.0 1.0 34.0 0.0 20.0 2.0 6.0 2.0; 1.0 215.0 41.0 4.0 8.0 14.0 7.0 2.0 42.0 16.0; 8.0 34.0 172.0 5.0 15.0 26.0 17.0 21.0 25.0 27.0; 0.0 10.0 49.0 177.0 11.0 13.0 9.0 41.0 24.0 16.0; 32.0 19.0 40.0 9.0 141.0 3.0 47.0 13.0 36.0 10.0; 1.0 12.0 102.0 5.0 4.0 86.0 7.0 12.0 34.0 87.0; 16.0 2.0 5.0 6.0 35.0 1.0 244.0 6.0 28.0 7.0; 4.0 5.0 43.0 63.0 16.0 14.0 20.0 149.0 25.0 11.0; 3.0 33.0 47.0 7.0 19.0 16.0 32.0 13.0 124.0 56.0; 0.0 20.0 27.0 0.0 7.0 68.0 9.0 2.0 48.0 169.0],"[0.4828571428571429, 0.5171428571428571, 0.5114285714285715, 0.5314285714285715, 0.5514285714285714, 0.5342857142857143, 0.47714285714285715, 0.4857142857142857, 0.44857142857142857, 0.4685714285714286]"
DecisionTreeClassifier,Dict(:max_depth => 8),0.5268571428571428,0.03725745447332921,0.5275599537983214,0.03636633043562103,[284.0 6.0 4.0 1.0 29.0 0.0 15.0 3.0 7.0 1.0; 3.0 217.0 42.0 3.0 7.0 18.0 4.0 3.0 41.0 12.0; 6.0 23.0 174.0 14.0 18.0 45.0 9.0 19.0 21.0 21.0; 0.0 8.0 41.0 187.0 14.0 20.0 11.0 37.0 21.0 11.0; 29.0 15.0 50.0 11.0 136.0 7.0 44.0 22.0 30.0 6.0; 1.0 12.0 78.0 9.0 6.0 132.0 5.0 11.0 26.0 70.0; 21.0 6.0 14.0 11.0 32.0 3.0 228.0 16.0 15.0 4.0; 5.0 6.0 35.0 50.0 22.0 25.0 11.0 168.0 19.0 9.0; 3.0 24.0 38.0 11.0 21.0 29.0 17.0 10.0 152.0 45.0; 0.0 17.0 19.0 1.0 6.0 58.0 11.0 4.0 68.0 166.0],"[0.5, 0.5257142857142857, 0.5514285714285714, 0.56, 0.5428571428571428, 0.5714285714285714, 0.49714285714285716, 0.5285714285714286, 0.44571428571428573, 0.5457142857142857]"
